Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,55,32,1.15E-19,0,0,0.24193573,0.007006407,0,0,1,1,0.045411522,0.045411522,0.231055021,0.005545855,97,8,-0.04541,-0.04541,1,1
500,1,43,32,-1.20E-16,0,0,0.206133604,0.009726763,0,0,1,1,0.027823474,0.027823474,0.216427803,0.009247065,97,8,0.02782,0.02782,1,1
500,2,28,66,-8.38E-16,2.28E-15,3.15E-15,0.233023643,0.021525621,0,0,1,1,0.040193365,0.004871235,0.198774815,0.021372318,97,21,0.00487|0.03554|0.08017,0.00487,3,1
500,3,92,98,-1.86E-14,0,0,0.207158327,0.063199043,0,0,1,1,0.673189337,0.673189337,0.209776878,0.069473028,97,36,-0.67319,-0.67319,1,1
500,4,1,79,5,3.25,3.25,0.202558756,0.02628541,0.0|2.0|5.0,0.0|2.0|5.0,3,3,3.165455942,3.165455942,0.208665609,0.02521348,97,19,0.06447|0.14219|2.21976|5.08825,0.06447|0.14219|2.21976|5.08825,4,4
500,5,30,57,0,0,0,0.202292204,0.004216194,0,0,1,1,0.018607354,0.023778364,0.193128347,0.003024817,97,2,0.01344|0.02378,0.02378,2,1
500,6,89,64,2.18E-15,0,0,0.175728798,0.033779144,0,0,1,1,0.031110169,0.031110169,0.185950994,0.032827377,97,27,-0.03111,-0.03111,1,1
500,7,50,86,2.00E-16,0,0,0.177359343,0.06962657,0,0,1,1,0.005824468,0.005824468,0.192364216,0.074943304,97,43,0.00582,0.00582,1,1
500,8,14,7,4.76E-17,0,0,0.181969881,0.003671646,0,0,1,1,0.001501414,0.001501414,0.17596674,0.003018618,97,2,0.0015,0.0015,1,1
500,9,32,25,-1.29E-16,1.19E-16,2.38E-16,0.170635223,0.003744602,0,0,1,1,0.004495331,0.004458056,0.179475307,0.00297451,97,2,-0.00453|-0.00446,-0.00446,2,1
500,10,23,99,4.86E-17,2.95E-17,5.90E-17,0.18681097,0.013806343,0,0,1,1,0.019127557,0.008435053,0.175252676,0.012819529,97,16,-0.02982|0.00844,0.00844,2,1
500,11,6,25,-1.08E-15,1.28E-15,2.06E-15,0.17459774,0.003869772,0,0,1,1,0.019252497,0.00467651,0.185438871,0.00309062,97,2,0.00081|0.00468|0.03514|0.03639,0.00468,4,1
500,12,30,26,-7.26E-17,2.54E-17,5.07E-17,0.175088644,0.003782988,0,0,1,1,0.012078406,0.009416387,0.181535721,0.003029585,97,2,-0.01474|0.00942,0.00942,2,1
500,13,74,3,8.95E-17,0,0,0.181619167,0.017475605,0,0,1,1,0.072465236,0.072465236,0.17673707,0.02250886,97,19,0.07247,0.07247,1,1
500,14,73,8,-4.61E-16,0,0,0.175494194,0.017784119,0,0,1,1,0.069845421,0.069845421,0.184714794,0.016751289,97,16,0.06985,0.06985,1,1
500,15,33,67,4.16E-17,0,0,0.271102667,0.025419712,0,0,1,1,0.089991361,0.089991361,0.185911655,0.0161376,97,16,0.08999,0.08999,1,1
500,16,25,67,-2.52E-17,2.37E-15,4.74E-15,0.189883709,0.010727644,0,0,1,1,0.060446035,0.028560774,0.184446335,0.009988785,97,11,0.02856|0.09233,0.02856,2,1
500,17,31,49,5.34E-33,0,0,0.17941761,0.012654781,0,0,1,1,0.053739288,0.053739288,0.173248053,0.004677296,97,6,-0.05374,-0.05374,1,1
500,18,83,49,-1.65E-16,0,0,0.181270838,0.012624979,0,0,1,1,0.026018203,0.026018203,0.184776306,0.011342049,97,14,-0.02602,-0.02602,1,1
500,19,62,41,-1.08E-18,0,0,0.180375814,0.00739336,0,0,1,1,0.013310549,0.013310549,0.177280426,0.006304026,97,8,0.01331,0.01331,1,1
500,20,51,25,-1.81E-16,0,0,0.177313328,0.006255865,0,0,1,1,0.051964088,0.051964088,0.183735371,0.004989386,97,5,0.05196,0.05196,1,1
500,21,25,13,-1.23E-32,2.64E-17,5.27E-17,0.185257196,0.003821611,0,0,1,1,0.042324098,0.024335491,0.176584005,0.003016472,97,2,0.02434|0.06031,0.02434,2,1
500,22,88,8,3.01E-16,0,0,0.183857679,0.018634796,0,0,1,1,0.232454903,0.232454903,0.178390503,0.010239363,97,10,-0.23245,-0.23245,1,1
500,23,94,62,-2.76E-16,0,0,0.174881935,0.050089598,0,0,1,1,0.085464848,0.085464848,0.187044382,0.052031994,97,37,0.08546,0.08546,1,1
500,24,62,18,1.31E-16,0,0,0.181682348,0.006690264,0,0,1,1,0.036300245,0.036300245,0.176398516,0.005805254,97,7,-0.0363,-0.0363,1,1
500,25,73,45,-4.68E-32,0,0,0.16973877,0.016230106,0,0,1,1,0.041834073,0.041834073,0.182610035,0.015017271,97,16,0.04183,0.04183,1,1
500,26,37,86,2,0,0,0.180971384,0.071330547,2,2,1,1,0.076437626,0.048031017,0.178493977,0.065016508,97,42,1.89516|1.95197,1.95197,2,1
500,27,48,33,-2.96E-32,0,0,0.174916506,0.007781744,0,0,1,1,0.017559077,0.017559077,0.187392712,0.00709343,97,13,0.01756,0.01756,1,1
500,28,8,82,1,0.333333333,0.5,0.182825565,0.006890059,-0.0|1.0,-0.0|1.0,2,2,0.345030076,0.493776375,0.175704479,0.005899429,97,5,0.03674|1.0243|1.04754,0.03674|1.0243,3,2
500,29,79,84,-3.72E-14,0,0,0.187599182,0.055012226,0,0,1,1,0.060774685,0.060774685,0.177197695,0.04987812,97,37,0.06077,0.06077,1,1
500,30,19,87,4.20E-17,0,0,0.175333023,0.00798583,0,0,1,1,0.035936655,0.035936655,0.183639288,0.006453514,97,6,-0.03594,-0.03594,1,1
