Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,1,75,3283.000000005059,873.0000000032705,873.0000000032705,0.6394686698913574,0.6314711570739746,724.0|3223.0|3283.0,724.0|3223.0|3283.0,3,3,986.8079342284691,986.8079342284691,0.5827665328979492,0.6337361335754395,80,61,597.72597|3085.38021|3205.47002,597.72597|3085.38021|3205.47002,3,3
500,1,3,12,0.9999999999997906,0.49999999999967115,0.4999999999995566,0.5626726150512695,0.009123802185058594,0.0|1.0,0.0|1.0,2,2,0.4817492639992602,0.5113902255189915,0.5652344226837158,0.008126974105834961,80,4,0.00635|0.19205|0.19811|1.02914|1.08268|1.17519,0.00635|1.02914,6,2
500,2,3,65,26.000000000050054,3.1666666666641388,3.1666666666641388,0.6306931972503662,0.06281161308288574,21.0|22.0|26.0|27.0|30.0,21.0|22.0|26.0|27.0|30.0,5,5,5.010012122355822,5.010012122355822,0.5516304969787598,0.0737302303314209,80,27,17.40368|17.51081|19.22122|24.27818|24.46786|28.94182,17.40368|17.51081|19.22122|24.27818|24.46786|28.94182,6,6
500,3,34,45,1.5664506728742218e-12,0.0,0.0,0.5698943138122559,0.038666725158691406,0.0,0.0,1,1,0.3012394773467035,0.3012394773467035,0.5792398452758789,0.03141498565673828,80,24,0.30124,0.30124,1,1
500,4,66,55,1.1850002740075888e-09,0.0,0.0,0.572878360748291,0.44800829887390137,0.0,0.0,1,1,0.14064627876193236,0.14064627876193236,0.5476627349853516,0.5344245433807373,80,56,0.14065,0.14065,1,1
500,5,66,16,1.5651031301186979e-12,0.0,0.0,0.5409629344940186,0.4114561080932617,0.0,0.0,1,1,0.443961283812902,0.443961283812902,0.5265357494354248,0.41790151596069336,80,55,-0.44396,-0.44396,1,1
500,6,6,40,5.0608406354557395e-12,1.7500000000026998,1.7500000000026998,0.5664775371551514,0.020869970321655273,0.0|3.5,0.0|3.5,2,2,1.7864066777271692,1.7864066777271692,0.5639753341674805,0.02539372444152832,80,16,0.05151|3.5213,0.05151|3.5213,2,2
500,7,15,61,5.000000000004666,0.0,0.0,0.5426945686340332,0.1426539421081543,5.0,5.0,1,1,4.937350303349695,4.937350303349695,0.579573392868042,0.1384577751159668,80,39,9.93735,9.93735,1,1
500,8,34,12,3.921418414843097e-14,0.0,0.0,0.5593774318695068,0.019591331481933594,0.0,0.0,1,1,0.052085967662131236,0.052085967662131236,0.5272879600524902,0.027883529663085938,80,14,0.05209,0.05209,1,1
500,9,26,32,1.101341240426393e-14,0.0,0.0,0.5476157665252686,0.03968238830566406,0.0,0.0,1,1,1.6417593688795622,1.6417593688795622,0.61855149269104,0.0354008674621582,80,20,-1.64176,-1.64176,1,1
500,10,16,79,1670.0000000025846,0.0,0.0,0.542578935623169,0.6999509334564209,1670.0,1670.0,1,1,32.18683989327633,32.18683989327633,0.5525164604187012,0.6961867809295654,80,68,1637.81316,1637.81316,1,1
500,11,69,6,7.386462956750217e-13,0.0,0.0,0.5634949207305908,0.28875041007995605,0.0,0.0,1,1,0.11129551148554373,0.11129551148554373,0.622687578201294,0.29378342628479004,80,50,-0.1113,-0.1113,1,1
500,12,47,18,4.099725568398134e-13,0.0,0.0,0.5655841827392578,0.14836859703063965,0.0,0.0,1,1,0.20175928746343588,0.20175928746343588,0.5585174560546875,0.14419221878051758,80,41,-0.20176,-0.20176,1,1
500,13,44,54,1.0000000000132463,0.0,0.0,0.5608904361724854,0.2566370964050293,1.0,1.0,1,1,0.620513858404478,0.620513858404478,0.5494811534881592,0.24413609504699707,80,48,1.62051,1.62051,1,1
500,14,37,18,-2.1829947448179203e-14,0.0,0.0,0.5474541187286377,0.03743171691894531,-0.0,-0.0,1,1,0.07890871699179589,0.07890871699179589,0.5300986766815186,0.03942704200744629,80,25,-0.07891,-0.07891,1,1
500,15,40,6,8.240322004965496e-15,0.0,0.0,0.6567559242248535,0.02408599853515625,0.0,0.0,1,1,0.029896479552387473,0.029896479552387473,0.5699164867401123,0.026490211486816406,80,16,0.0299,0.0299,1,1
500,16,58,43,2.3039194159216078e-12,0.0,0.0,0.6095454692840576,0.12935829162597656,0.0,0.0,1,1,0.6004435947852867,0.6004435947852867,0.5223770141601562,0.12180709838867188,80,39,-0.60044,-0.60044,1,1
500,17,23,75,15.999999999995897,0.0,0.0,0.5412616729736328,0.6236371994018555,16.0,16.0,1,1,223.0376508364259,223.0376508364259,0.5255012512207031,0.6129119396209717,80,61,239.03765,239.03765,1,1
500,18,4,13,2.682327943788437e-12,0.0,0.0,0.48270654678344727,0.006036281585693359,0.0,0.0,1,1,0.0316373754965219,0.0316373754965219,0.5315907001495361,0.005288600921630859,80,4,0.03164,0.03164,1,1
500,19,68,20,1.92506760505383e-11,0.0,0.0,0.46814990043640137,0.32396697998046875,0.0,0.0,1,1,0.42519464050093836,0.42519464050093836,0.4693567752838135,0.3148462772369385,80,53,-0.42519,-0.42519,1,1
