Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,12,31,1.0,0.5,0.5,0.030806303024291992,0.00648045539855957,0.0|1.0,0.0|1.0,2,2,0.45847290950323305,0.45847290950323305,0.025376081466674805,0.0052258968353271484,35,3,0.1175|0.96556,0.1175|0.96556,2,2
500,1,34,1,0.0,0.0,0.0,0.022365093231201172,0.004106760025024414,0.0,0.0,1,1,0.02280280338168572,0.02280280338168572,0.022142410278320312,0.003178834915161133,35,4,0.0228,0.0228,1,1
500,2,2,33,0.0,0.0,0.0,0.027741193771362305,0.0038909912109375,0.0,0.0,1,1,0.0046177149171193164,0.008768231973211417,0.02986741065979004,0.0033464431762695312,35,2,-0.00047|0.00877,0.00877,2,1
500,3,10,39,0.0,0.0,0.0,0.025175809860229492,0.004794597625732422,0.0,0.0,1,1,0.011270807810381025,0.011270807810381025,0.02587151527404785,0.0034356117248535156,35,4,0.01127,0.01127,1,1
500,4,7,23,0.0,0.0,0.0,0.026148319244384766,0.0041828155517578125,0.0,0.0,1,1,0.042045042959779476,0.03602676742991517,0.022670269012451172,0.003311634063720703,35,4,-0.04806|-0.03603,-0.03603,2,1
500,5,37,31,0.0,0.0,0.0,0.02591991424560547,0.010063886642456055,0.0,0.0,1,1,0.03964195252726965,0.03964195252726965,0.026762962341308594,0.0052165985107421875,35,12,-0.03964,-0.03964,1,1
500,6,9,19,0.0,0.0,0.0,0.03240633010864258,0.0038094520568847656,0.0,0.0,1,1,0.05473310327724733,0.04552783678689486,0.029801607131958008,0.0031838417053222656,35,2,-0.06394|-0.04553,-0.04553,2,1
500,7,32,16,0.0,0.0,0.0,0.025026559829711914,0.003952741622924805,0.0,0.0,1,1,0.014813228571436826,0.014813228571436826,0.03010106086730957,0.003416776657104492,35,4,-0.01481,-0.01481,1,1
500,8,1,36,1.0,0.0,0.0,0.023236513137817383,0.008053779602050781,1.0,1.0,1,1,0.07708140231848604,0.07708140231848604,0.0308382511138916,0.008570194244384766,35,7,1.07708,1.07708,1,1
500,9,27,30,0.0,0.0,0.0,0.02922987937927246,0.0052607059478759766,0.0,0.0,1,1,0.041823482713141326,0.041823482713141326,0.02637457847595215,0.0033087730407714844,35,2,0.04182,0.04182,1,1
