Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,12,5,0.0,0.0,0.0,0.05740547180175781,0.004007101058959961,0.0,0.0,1,1,0.0032939732602705507,0.0032939732602705507,0.07236051559448242,0.002779722213745117,40,2,-0.00329,-0.00329,1,1
500,1,29,31,-5.982868521591121e-15,0.0,0.0,0.052316904067993164,0.03190970420837402,-0.0,-0.0,1,1,0.012509094880892866,0.012509094880892866,0.048865318298339844,0.031762123107910156,40,22,-0.01251,-0.01251,1,1
500,2,1,19,0.0,0.0,0.0,0.053641319274902344,0.003474712371826172,0.0,0.0,1,1,0.05890024595796428,0.055098367521191134,0.055115699768066406,0.002790212631225586,40,2,-0.0627|-0.0551,-0.0551,2,1
500,3,30,10,1.2918958832001822e-15,0.0,0.0,0.053200483322143555,0.02525949478149414,0.0,0.0,1,1,0.11513349937850914,0.11513349937850914,0.05278754234313965,0.024393558502197266,40,19,0.11513,0.11513,1,1
500,4,35,39,6.764309593902386e-15,0.0,0.0,0.11640572547912598,0.039620399475097656,0.0,0.0,1,1,0.14489255467514536,0.14489255467514536,0.057453155517578125,0.04287147521972656,40,27,-0.14489,-0.14489,1,1
500,5,21,34,0.999999999999994,0.0,0.0,0.04755425453186035,0.019865036010742188,1.0,1.0,1,1,0.2571209014480673,0.2571209014480673,0.04677176475524902,0.019778728485107422,40,20,1.25712,1.25712,1,1
500,6,29,40,-2.7632217501781674e-15,0.0,0.0,0.04609346389770508,0.026976346969604492,-0.0,-0.0,1,1,0.70781671467355,0.70781671467355,0.05095529556274414,0.026273250579833984,40,23,0.70782,0.70782,1,1
500,7,18,3,0.0,0.0,0.0,0.04390382766723633,0.00685429573059082,0.0,0.0,1,1,0.06481339366577143,0.06481339366577143,0.04422426223754883,0.0061991214752197266,40,7,0.06481,0.06481,1,1
500,8,15,1,0.0,0.0,0.0,0.047132253646850586,0.009446144104003906,0.0,0.0,1,1,0.04988220583492136,0.04988220583492136,0.04723477363586426,0.007141828536987305,40,7,0.04988,0.04988,1,1
500,9,1,33,24.0,3.5,3.5,0.04511237144470215,0.029909849166870117,17.0|24.0,17.0|24.0,2,2,3.727198848152181,3.727198848152181,0.046210527420043945,0.033315420150756836,40,28,16.75607|23.78954,16.75607|23.78954,2,2
500,10,5,7,0.0,0.0,0.0,0.05731201171875,0.005231380462646484,0.0,0.0,1,1,0.04036181017475937,0.007476205160483005,0.048194169998168945,0.0027556419372558594,40,2,-0.07445|-0.00748|0.03916,-0.00748,3,1
500,11,24,9,0.0,0.0,0.0,0.04446291923522949,0.00799560546875,0.0,0.0,1,1,0.013044556584874512,0.013044556584874512,0.04626202583312988,0.00526118278503418,40,7,0.01304,0.01304,1,1
500,12,28,33,1.000000000000005,0.0,0.0,0.04533791542053223,0.030970096588134766,1.0,1.0,1,1,0.47896624343557725,0.47896624343557725,0.05131244659423828,0.031054258346557617,40,28,1.47897,1.47897,1,1
500,13,22,27,8.242295734817162e-15,0.0,0.0,0.05500030517578125,0.01744985580444336,0.0,0.0,1,1,0.15674668866328512,0.15674668866328512,0.043996572494506836,0.019296884536743164,40,18,0.15675,0.15675,1,1
500,14,3,24,0.0,2.960594732333751e-17,0.0,0.04731893539428711,0.00422978401184082,0.0,0.0,1,1,0.04569602052483914,0.02579478364815157,0.046561241149902344,0.003522157669067383,40,4,0.02122|0.02579|0.09007,0.02579,3,1
500,15,23,30,-1.285048017363599e-14,0.0,0.0,0.043340444564819336,0.027443647384643555,-0.0,-0.0,1,1,0.409242930020351,0.409242930020351,0.047998905181884766,0.021975040435791016,40,20,-0.40924,-0.40924,1,1
500,16,21,26,-4.403363432879494e-15,0.0,0.0,0.04865121841430664,0.09544253349304199,-0.0,-0.0,1,1,0.04598555010514869,0.04598555010514869,0.04633760452270508,0.005762815475463867,40,9,0.04599,0.04599,1,1
500,17,38,23,-1.0956242767171562e-14,0.0,0.0,0.04481029510498047,0.0406498908996582,-0.0,-0.0,1,1,0.09607336416223251,0.09607336416223251,0.04450702667236328,0.036154747009277344,40,27,0.09607,0.09607,1,1
500,18,15,33,9.135549459772717e-15,0.0,0.0,0.04889941215515137,0.034345149993896484,0.0,0.0,1,1,2.588474193628846,2.588474193628846,0.04703474044799805,0.029632091522216797,40,29,2.58847,2.58847,1,1
