Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,16,15,0.0,0.0,0.0,0.0167086124420166,0.007775783538818359,0.0,0.0,1,1,0.05988873573334424,0.05988873573334424,0.008629322052001953,0.01033473014831543,19,8,-0.05989,-0.05989,1,1
500,1,11,4,0.0,0.0,0.0,0.008476018905639648,0.0028641223907470703,0.0,0.0,1,1,0.0018164659677781996,0.0018164659677781996,0.011061429977416992,0.0027670860290527344,19,2,-0.00182,-0.00182,1,1
500,2,8,2,0.0,0.0,0.0,0.01083517074584961,0.008690834045410156,0.0,0.0,1,1,0.04301795663350952,0.04301795663350952,0.007872819900512695,0.006230354309082031,19,5,0.04302,0.04302,1,1
500,3,3,9,1.0,0.25,0.25,0.008498430252075195,0.005561351776123047,1.0|1.5,1.0|1.5,2,2,0.23903193101346604,0.23903193101346604,0.011243343353271484,0.005033731460571289,19,5,0.9729|1.45096,0.9729|1.45096,2,2
500,4,17,19,0.9999999999999996,0.0,0.0,0.008619546890258789,0.010051727294921875,1.0,1.0,1,1,0.1724920250140095,0.1724920250140095,0.01092982292175293,0.011002063751220703,19,15,0.82751,0.82751,1,1
500,5,1,14,0.0,0.0,0.0,0.009467363357543945,0.0053517818450927734,0.0,0.0,1,1,0.026051467082289115,0.0038970598373220078,0.012712478637695312,0.0030426979064941406,19,2,-0.05922|-0.01504|-0.0039,-0.0039,3,1
500,6,8,18,2.000000000000001,0.0,0.0,0.012881278991699219,0.009905576705932617,2.0,2.0,1,1,0.3798492417305277,0.3798492417305277,0.00970458984375,0.013904809951782227,19,13,1.62015,1.62015,1,1
500,7,17,8,1.2701088788332946e-16,0.0,0.0,0.01319122314453125,0.008640050888061523,0.0,0.0,1,1,0.18124371771098077,0.18124371771098077,0.009752035140991211,0.011460542678833008,19,11,0.18124,0.18124,1,1
500,8,20,9,0.0,0.0,0.0,0.010309457778930664,0.006075382232666016,0.0,0.0,1,1,0.10149812037384481,0.10149812037384481,0.008437871932983398,0.005688190460205078,19,10,0.1015,0.1015,1,1
500,9,18,6,-2.4445277606425466e-17,0.0,0.0,0.008215904235839844,0.00918722152709961,-0.0,-0.0,1,1,0.12670579276139132,0.12670579276139132,0.011270761489868164,0.010519981384277344,19,13,-0.12671,-0.12671,1,1
