Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
2500,2,CATECHOL,VENTTUBE,2.0,0.0,0.0,0.042868614196777344,0.014566421508789062,2.0,2.0,1,1,0.01405815317950454,0.01405815317950454,0.04068470001220703,0.01407933235168457,37,15,2.01406,2.01406,1,1
2500,3,SAO2,DISCONNECT,1.0,0.0,0.0,0.029738903045654297,0.023409366607666016,1.0,1.0,1,1,0.010142219000610408,0.010142219000610408,0.04604530334472656,0.02018594741821289,37,16,1.01014,1.01014,1,1
2500,4,HRSAT,CATECHOL,1.0,0.0,0.0,0.03006434440612793,0.008090972900390625,1.0,1.0,1,1,0.04977830544270434,0.04977830544270434,0.05444765090942383,0.009390592575073242,37,6,1.04978,1.04978,1,1
2500,5,MINVOL,VENTTUBE,1.0,0.0,0.0,0.03804612159729004,0.012115478515625,1.0,1.0,1,1,0.024902387612095067,0.024902387612095067,0.02921915054321289,0.011883020401000977,37,15,1.0249,1.0249,1,1
2500,6,CO,INSUFFANESTH,1.0,0.0,0.0,0.03248119354248047,0.007927656173706055,1.0,1.0,1,1,0.009364538587561108,0.0059529657588293095,0.044611454010009766,0.006392240524291992,37,7,0.98788|0.98998|0.99405,0.99405,3,1
2500,7,EXPCO2,VENTMACH,2.0,0.0,0.0,0.040857553482055664,0.019112348556518555,2.0,2.0,1,1,0.019620316953103956,0.019620316953103956,0.026202678680419922,0.015705585479736328,37,16,2.01962,2.01962,1,1
2500,8,HR,VENTTUBE,2.0,0.0,0.0,0.03263521194458008,0.01560354232788086,2.0,2.0,1,1,0.16860132758523383,0.16860132758523383,0.03543448448181152,0.010625839233398438,37,15,2.1686,2.1686,1,1
2500,9,CO,PULMEMBOLUS,1.0,0.0,0.0,0.031359195709228516,0.007916688919067383,1.0,1.0,1,1,0.02321387325125605,0.014905905521170881,0.03856229782104492,0.008188009262084961,37,10,1.01479|1.01491|1.03994,1.01491,3,1
2500,10,CATECHOL,DISCONNECT,2.0,0.0,0.0,0.03826260566711426,0.01774120330810547,2.0,2.0,1,1,0.08651795508452764,0.08651795508452764,0.029983997344970703,0.015023469924926758,37,16,1.91348,1.91348,1,1
2500,11,CO,TPR,1.0,0.3333333333333333,0.25,0.032021522521972656,0.013602018356323242,1.0|1.5,1.0|1.5,2,2,0.3582947783611461,0.27066800453691797,0.044029951095581055,0.011483430862426758,37,8,1.03288|1.50846|1.53355,1.03288|1.50846,3,2
2500,12,BP,CATECHOL,1.0,0.5,0.5,0.03376364707946777,0.008298397064208984,0.0|1.0,0.0|1.0,2,2,0.4875395164093306,0.4875395164093306,0.037151336669921875,0.009427070617675781,37,7,0.04516|1.02024,0.04516|1.02024,2,2
2500,13,PVSAT,KINKEDTUBE,0.9999999999999996,0.0,0.0,0.028254985809326172,0.013877391815185547,1.0,1.0,1,1,0.005653574596992339,0.005653574596992339,0.03850722312927246,0.014759063720703125,37,15,1.00565,1.00565,1,1
2500,14,HRSAT,SAO2,1.0,0.0,0.0,0.0476689338684082,0.008867263793945312,1.0,1.0,1,1,0.010661483800126992,0.010661483800126992,0.03714394569396973,0.0070879459381103516,37,7,0.98934,0.98934,1,1
2500,15,CATECHOL,KINKEDTUBE,2.0,0.0,0.0,0.028146743774414062,0.012766599655151367,2.0,2.0,1,1,0.02967275879988751,0.02967275879988751,0.04295611381530762,0.01004481315612793,37,15,2.02967,2.02967,1,1
2500,16,BP,VENTMACH,2.0,1.0,1.0,0.03420519828796387,0.01776123046875,0.0|2.0,0.0|2.0,2,2,1.0603011155985091,1.0603011155985091,0.02633047103881836,0.017174959182739258,37,17,-0.1|2.0206,-0.1|2.0206,2,2
2500,17,HRBP,VENTTUBE,2.0,0.0,0.0,0.038263559341430664,0.014662981033325195,2.0,2.0,1,1,0.07241267038760602,0.05002905708221439,0.027622699737548828,0.014936208724975586,37,15,2.05003|2.0948,2.05003,2,1
2500,18,ARTCO2,VENTMACH,1.0,0.0,0.0,0.03022456169128418,0.018460512161254883,1.0,1.0,1,1,0.015898626158898255,0.015898626158898255,0.042548418045043945,0.015198945999145508,37,16,0.9841,0.9841,1,1
2500,19,CO,INSUFFANESTH,1.0,0.0,0.0,0.03869032859802246,0.009090900421142578,1.0,1.0,1,1,0.006934095861384308,0.009921203725618555,0.026613473892211914,0.008866071701049805,37,7,0.99008|0.9932|0.99591,0.99008,3,1
2500,20,CO,TPR,1.0,0.3333333333333333,0.25,0.030477523803710938,0.011472463607788086,1.0|1.5,1.0|1.5,2,2,0.3620886942453591,0.2728899390508107,0.040326595306396484,0.011924266815185547,37,8,1.03186|1.51392|1.54049,1.03186|1.51392,3,2
2500,21,PRESS,DISCONNECT,1.0,0.0,0.0,0.041245222091674805,0.01902461051940918,1.0,1.0,1,1,0.003068882087140956,0.003068882087140956,0.03724098205566406,0.01633477210998535,37,16,1.00307,1.00307,1,1
